build,file,peak_velocity_mps,face_angle_deg,snapped,confidence,user_judgment,computed_distance_m,outcome,end_x_m,end_y_m,total_time_s
by-build,stroke-C-3-2026-05-31T08-15-31.489Z.json,0.1202,-20.52,False,1.0,just_right,1.911,stopped,1.79,0.67,2.467
by-build,stroke-C-4-2026-05-31T08-15-36.572Z.json,0.1598,-15.78,False,1.0,just_right,3.385,stopped,3.257,0.921,3.3
by-build,stroke-C-5-2026-05-31T08-15-42.040Z.json,0.1231,-21.93,False,1.0,just_right,2.005,stopped,1.86,0.749,2.517
by-build,stroke-C-6-2026-05-31T08-15-46.288Z.json,0.1508,-15.66,False,1.0,just_right,3.012,stopped,2.9,0.813,3.1
by-build,stroke-C-7-2026-05-31T08-15-50.388Z.json,0.1641,-21.68,False,1.0,just_right,3.57,stopped,3.317,1.319,3.383
by-build,stroke-C-8-2026-05-31T08-15-54.455Z.json,0.0801,-21.26,False,1.0,just_right,0.845,stopped,0.788,0.307,1.617
by-build,stroke-C-9-2026-05-31T08-15-58.988Z.json,0.1391,-14.38,False,1.0,just_right,2.561,stopped,2.481,0.636,2.85
by-build,stroke-cal-1-2026-05-31T08-09-45.106Z.json,0.1307,-6.68,False,1.0,,2.259,stopped,2.244,0.263,2.683
by-build,stroke-cal-2-2026-05-31T08-09-51.089Z.json,0.1441,-6.99,False,1.0,just_right,2.75,stopped,2.729,0.335,2.967
by-build,stroke-cal-3-2026-05-31T08-09-57.973Z.json,0.1256,-8.77,False,1.0,just_right,2.086,stopped,2.061,0.318,2.567
by-build,stroke-cal-4-2026-05-31T08-10-03.006Z.json,0.1508,-6.07,False,1.0,just_right,3.011,stopped,2.994,0.318,3.1
by-build,stroke-cal-5-2026-05-31T08-10-07.360Z.json,0.1614,-7.47,False,1.0,just_right,3.451,stopped,3.422,0.448,3.333
by-build,stroke-A-1-2026-05-31T08-44-50.705Z.json,0.099,-5.69,False,1.0,late,1.295,stopped,1.289,0.128,2.017
by-build,stroke-A-10-2026-05-31T08-45-41.840Z.json,0.1684,-6.9,False,1.0,late,3.758,stopped,3.731,0.451,3.483
by-build,stroke-A-11-2026-05-31T08-45-45.657Z.json,0.1214,-7.72,False,1.0,just_right,1.95,stopped,1.932,0.262,2.483
by-build,stroke-A-12-2026-05-31T08-45-49.658Z.json,0.147,-5.18,False,1.0,just_right,2.863,stopped,2.852,0.258,3.033
